user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
usr_000001,product,transactional,ios,17,0,0.1338,79,36,active,0
usr_000002,home,promotional,ios,17,0,0.1952,99,56,active,0
usr_000003,content,promotional,web,5,6,0.3668,36,50,new,0
usr_000004,search,promotional,ios,20,6,0.2977,58,2,at_risk,1
usr_000005,home,transactional,android,7,6,0.4218,20,9,at_risk,0
usr_000006,content,transactional,android,21,4,0.23,95,8,active,1
usr_000007,product,transactional,android,2,6,0.0622,9,42,active,0
usr_000008,product,newsletter,android,13,3,0.4063,55,28,new,1
usr_000009,content,transactional,web,17,3,0.0516,54,33,active,1
usr_000010,search,transactional,android,16,6,0.3923,95,54,at_risk,0
usr_000011,content,promotional,web,19,0,0.1345,5,18,active,0
usr_000012,search,transactional,web,8,3,0.2381,48,48,active,0
usr_000013,product,newsletter,web,14,3,0.4662,39,32,active,1
usr_000014,product,newsletter,ios,6,0,0.114,85,7,active,1
usr_000015,home,promotional,ios,1,4,0.2523,6,48,churn,1
usr_000016,home,newsletter,web,18,4,0.2014,83,27,new,0
usr_000017,home,transactional,web,5,4,0.1124,38,6,active,1
usr_000018,product,reengagement,android,1,5,0.1094,85,11,at_risk,0
usr_000019,product,promotional,ios,17,1,0.3578,85,33,active,0
usr_000020,content,promotional,ios,20,6,0.2143,2,53,active,0
usr_000021,product,newsletter,android,15,2,0.1208,86,36,new,0
usr_000022,home,transactional,android,11,1,0.2735,48,2,new,0
usr_000023,content,promotional,android,21,5,0.0909,22,51,active,0
usr_000024,content,promotional,android,3,3,0.1501,26,6,active,0
usr_000025,product,promotional,ios,20,3,0.1428,94,40,churn,0
usr_000026,product,promotional,web,5,2,0.1105,95,26,new,1
usr_000027,home,promotional,android,4,1,0.2526,46,30,new,0
usr_000028,home,transactional,ios,5,6,0.2497,50,55,active,1
usr_000029,search,newsletter,android,18,4,0.2789,44,19,new,0
usr_000030,search,transactional,ios,0,3,0.1019,80,18,new,1
usr_000031,home,transactional,web,4,2,0.4693,45,41,new,1
usr_000032,content,promotional,ios,5,5,0.3049,65,14,active,1
usr_000033,search,promotional,ios,1,1,0.0199,41,21,active,0
usr_000034,product,newsletter,web,23,1,0.5905,1,38,churn,1
usr_000035,home,newsletter,web,1,6,0.2275,3,3,active,1
usr_000036,search,newsletter,ios,10,6,0.0384,81,51,churn,0
usr_000037,home,promotional,ios,11,1,0.2555,31,9,churn,1
usr_000038,product,promotional,android,21,3,0.0653,34,51,churn,1
usr_000039,content,transactional,web,11,5,0.1962,53,21,active,1
usr_000040,home,transactional,ios,20,3,0.1979,57,28,at_risk,1
usr_000041,product,transactional,ios,0,4,0.1321,23,13,active,0
usr_000042,home,reengagement,ios,2,5,0.0511,70,49,active,0
usr_000043,search,newsletter,android,18,2,0.3804,62,21,churn,0
usr_000044,home,transactional,ios,13,1,0.099,14,20,active,1
usr_000045,product,reengagement,android,10,1,0.1503,28,25,active,0
usr_000046,search,promotional,web,11,5,0.1519,49,21,active,1
usr_000047,search,promotional,android,19,1,0.1426,78,15,new,1
