user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
1,Site_C,Alert,iOS,6,4,0.8709675998625426,8,1,Loyal,1
2,Site_A,News,iOS,20,6,0.34233408246099073,22,25,Loyal,0
3,Site_C,News,iOS,22,5,0.7697723073855856,25,28,Churn_Risk,0
4,Site_C,Alert,Android,13,1,0.5613558241893379,2,3,New,1
5,Site_A,News,Android,18,1,0.8828364906780791,9,16,Churn_Risk,1
6,Site_A,Alert,iOS,4,2,0.5278121082956208,9,16,Churn_Risk,0
7,Site_C,News,iOS,22,1,0.5176298283979672,13,27,New,0
8,Site_B,Alert,iOS,17,0,0.5778770814409091,6,29,Churn_Risk,0
9,Site_C,Alert,Android,19,2,0.7493153551424344,30,7,New,1
10,Site_C,News,iOS,11,1,0.9646904788284609,15,22,New,0
11,Site_C,Promo,iOS,22,0,0.07356335421576565,15,13,Loyal,0
12,Site_C,News,Android,16,4,0.05343460239101716,7,23,Churn_Risk,0
13,Site_A,Alert,Android,12,1,0.9375503374073385,11,28,Loyal,0
14,Site_C,Promo,iOS,1,0,0.5298756255182061,40,3,Churn_Risk,1
15,Site_B,News,Android,12,3,0.6149030145669361,38,5,Churn_Risk,1
16,Site_A,News,iOS,6,5,0.48242360159472886,40,28,Loyal,0
17,Site_B,News,Android,9,3,0.09365745260747449,2,18,Loyal,0
18,Site_B,Promo,iOS,22,0,0.7680893784186665,48,26,Loyal,0
19,Site_B,Alert,iOS,5,2,0.7472246450885869,39,28,New,0
20,Site_B,News,iOS,2,6,0.311703321492812,10,23,Churn_Risk,0
21,Site_A,News,iOS,2,6,0.3062392452284004,44,3,New,1
22,Site_A,News,Android,17,6,0.8378413809055185,17,2,Churn_Risk,1
23,Site_B,News,Android,10,2,0.07235725774132662,7,19,Churn_Risk,0
24,Site_B,News,Android,21,1,0.8811051483565658,40,5,New,1
25,Site_A,Alert,Android,19,6,0.2566616898959144,39,26,New,0
26,Site_A,Alert,iOS,4,3,0.5929847477554939,4,22,Churn_Risk,0
27,Site_A,News,iOS,18,2,0.9359941790017777,35,6,Loyal,1
28,Site_C,Promo,Android,21,2,0.6781225015366464,47,13,Loyal,1
29,Site_C,Alert,Android,18,6,0.4144298124670366,36,11,Loyal,0
30,Site_C,Promo,Android,14,3,0.6895342089054152,31,15,Loyal,0
31,Site_B,Alert,Android,15,4,0.3439796363163702,25,19,Churn_Risk,0
32,Site_C,News,Android,23,2,0.27725841634918613,41,7,Loyal,0
